№ Площадки,Регион,Диапазон,Тип БС,"Дата ТЭ 
(ЧЧ.ММ.ГГ)","Год 
плана",exМР
PL_11_0409,Республика Коми,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0409,Республика Коми,LTE-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0409,Республика Коми,LTE-2600,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0409,Республика Коми,LTE-2600-TDD,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0413,Республика Коми,GSM-900,БС,2021-02-03,2021,МР Северо-Запад
PL_11_0413,Республика Коми,UMTS-2100,БС,2021-02-03,2021,МР Северо-Запад
PL_11_0413,Республика Коми,LTE-1800,БС,2021-02-03,2021,МР Северо-Запад
PL_11_0436,Республика Коми,GSM-900,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0436,Республика Коми,UMTS-2100,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0436,Республика Коми,LTE-1800,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0437,Республика Коми,GSM-900,БС,2021-04-23,2021,МР Северо-Запад
PL_11_0437,Республика Коми,UMTS-2100,БС,2021-04-23,2021,МР Северо-Запад
PL_11_0437,Республика Коми,LTE-1800,БС,2021-04-23,2021,МР Северо-Запад
PL_11_0439,Республика Коми,GSM-900,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0439,Республика Коми,UMTS-2100,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0439,Республика Коми,LTE-1800,БС,2021-02-17,2021,МР Северо-Запад
PL_11_0450,Республика Коми,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0460,Республика Коми,GSM-900,БС,2021-04-09,2021,МР Северо-Запад
PL_11_0462,Республика Коми,GSM-900,БС,2021-02-24,2021,МР Северо-Запад
PL_11_0462,Республика Коми,UMTS-2100,БС,2021-02-24,2021,МР Северо-Запад
PL_11_0462,Республика Коми,LTE-1800,БС,2021-02-24,2021,МР Северо-Запад
PL_11_0463,Республика Коми,GSM-900,БС,2021-04-09,2021,МР Северо-Запад
PL_11_0463,Республика Коми,UMTS-2100,БС,2021-04-09,2021,МР Северо-Запад
PL_11_0463,Республика Коми,LTE-1800,БС,2021-04-09,2021,МР Северо-Запад
PL_11_0468,Республика Коми,GSM-900,БС,2021-05-07,2021,МР Северо-Запад
PL_11_0468,Республика Коми,UMTS-2100,БС,2021-05-07,2021,МР Северо-Запад
PL_11_0468,Республика Коми,LTE-1800,БС,2021-05-07,2021,МР Северо-Запад
PL_11_0468,Республика Коми,LTE-2600,БС,2021-05-07,2021,МР Северо-Запад
PL_11_0468,Республика Коми,LTE-2600-TDD,БС,2021-05-07,2021,МР Северо-Запад
PL_11_00469,Республика Коми,UMTS-2100,БС,2021-02-24,2021,МР Северо-Запад
PL_11_00469,Республика Коми,LTE-1800,БС,2021-02-24,2021,МР Северо-Запад
PL_11_00469,Республика Коми,LTE-2600,БС,2021-02-24,2021,МР Северо-Запад
PL_11_00470,Республика Коми,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_11_00470,Республика Коми,LTE-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_11_00470,Республика Коми,LTE-2600,БС,2021-04-02,2021,МР Северо-Запад
PL_11_00477,Республика Коми,GSM-900,БС,2021-04-09,2021,МР Северо-Запад
PL_11_00477,Республика Коми,UMTS-2100,БС,2021-04-09,2021,МР Северо-Запад
PL_11_00477,Республика Коми,LTE-1800,БС,2021-04-09,2021,МР Северо-Запад
PL_11_0516,Республика Коми,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0516,Республика Коми,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0516,Республика Коми,LTE-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_11_0521,Республика Коми,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0521,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0521,Республика Коми,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0604,Республика Коми,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0604,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0604,Республика Коми,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_11_00827,Республика Коми,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_11_0904,Республика Коми,GSM-900,БС,2021-04-16,2021,МР Северо-Запад
PL_11_0904,Республика Коми,UMTS-2100,БС,2021-04-16,2021,МР Северо-Запад
PL_11_0904,Республика Коми,LTE-1800,БС,2021-04-16,2021,МР Северо-Запад
PL_35_00200,Вологодская область,GSM-900,БС,2021-04-16,2021,МР Северо-Запад
PL_35_00200,Вологодская область,DCS-1800,БС,2021-04-16,2021,МР Северо-Запад
PL_35_00200,Вологодская область,LTE-1800,БС,2021-04-16,2021,МР Северо-Запад
PL_35_0208,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0208,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0208,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0400,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0400,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0400,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0402,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0402,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0406,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0406,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0406,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0406,Вологодская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0419,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0419,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0419,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0443,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0443,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0501,Вологодская область,GSM-900,БС,2021-05-28,2021,МР Северо-Запад
PL_35_0501,Вологодская область,DCS-1800,БС,2021-05-28,2021,МР Северо-Запад
PL_35_0507,Вологодская область,GSM-900,БС,2021-04-30,2021,МР Северо-Запад
PL_35_0507,Вологодская область,UMTS-2100,БС,2021-04-30,2021,МР Северо-Запад
PL_35_0507,Вологодская область,LTE-1800,БС,2021-04-30,2021,МР Северо-Запад
PL_35_0507,Вологодская область,LTE-2600,БС,2021-04-30,2021,МР Северо-Запад
PL_35_0511,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0511,Вологодская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0511,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0511,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0511,Вологодская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0512,Вологодская область,GSM-900,БС,2021-05-14,2021,МР Северо-Запад
PL_35_0512,Вологодская область,DCS-1800,БС,2021-05-14,2021,МР Северо-Запад
PL_35_0512,Вологодская область,UMTS-2100,БС,2021-05-14,2021,МР Северо-Запад
PL_35_0512,Вологодская область,LTE-1800,БС,2021-05-14,2021,МР Северо-Запад
PL_35_0513,Вологодская область,GSM-900,БС,2021-04-23,2021,МР Северо-Запад
PL_35_0513,Вологодская область,DCS-1800,БС,2021-04-23,2021,МР Северо-Запад
PL_35_0513,Вологодская область,UMTS-2100,БС,2021-04-23,2021,МР Северо-Запад
PL_35_0513,Вологодская область,LTE-1800,БС,2021-04-23,2021,МР Северо-Запад
PL_35_0518,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0518,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0521,Вологодская область,GSM-900,БС,2021-04-09,2021,МР Северо-Запад
PL_35_0521,Вологодская область,LTE-1800,БС,2021-04-09,2021,МР Северо-Запад
PL_35_0547,Вологодская область,GSM-900,БС,2021-05-07,2021,МР Северо-Запад
PL_35_0547,Вологодская область,UMTS-2100,БС,2021-05-07,2021,МР Северо-Запад
PL_35_0548,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0548,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0548,Вологодская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0549,Вологодская область,GSM-900,БС,2021-12-31,2021,МР Северо-Запад
PL_35_0549,Вологодская область,UMTS-2100,БС,2021-12-31,2021,МР Северо-Запад
PL_35_0549,Вологодская область,LTE-1800,БС,2021-12-31,2021,МР Северо-Запад
PL_35_0550,Вологодская область,GSM-900,БС,2021-04-16,2021,МР Северо-Запад
PL_35_0550,Вологодская область,UMTS-2100,БС,2021-04-16,2021,МР Северо-Запад
PL_35_0550,Вологодская область,LTE-1800,БС,2021-04-16,2021,МР Северо-Запад
PL_35_0551,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0551,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0551,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_00586,Вологодская область,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
PL_35_00586,Вологодская область,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_35_00586,Вологодская область,LTE-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_35_00586,Вологодская область,LTE-2600,БС,2021-04-02,2021,МР Северо-Запад
PL_35_0709,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0709,Вологодская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0709,Вологодская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0709,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_00799,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_35_00799,Вологодская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_35_0804,Вологодская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0018,Мурманская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0018,Мурманская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0113,Мурманская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0113,Мурманская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0113,Мурманская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0113,Мурманская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00130,Мурманская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00130,Мурманская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00130,Мурманская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00240,Мурманская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00240,Мурманская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00240,Мурманская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_51_00242,Мурманская область,GSM-900,БС,2021-04-30,2021,МР Северо-Запад
PL_51_00242,Мурманская область,UMTS-2100,БС,2021-04-30,2021,МР Северо-Запад
PL_51_00242,Мурманская область,LTE-1800,БС,2021-04-30,2021,МР Северо-Запад
PL_51_00439,Мурманская область,GSM-900,БС,2021-04-16,2021,МР Северо-Запад
PL_51_00439,Мурманская область,UMTS-2100,БС,2021-04-16,2021,МР Северо-Запад
PL_51_0506,Мурманская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0506,Мурманская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0506,Мурманская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0506,Мурманская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0913,Мурманская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0913,Мурманская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_51_0913,Мурманская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0009,С.-Петербург и Ленинградская область,GSM-900,БС,2021-09-24,2021,МР Северо-Запад
PL_78_0009,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-09-24,2021,МР Северо-Запад
PL_78_0009,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-09-24,2021,МР Северо-Запад
PL_78_0009,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-09-24,2021,МР Северо-Запад
PL_78_0009,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-09-24,2021,МР Северо-Запад
PL_78_0018,С.-Петербург и Ленинградская область,GSM-900,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0018,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0018,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0018,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0018,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0026,С.-Петербург и Ленинградская область,GSM-900,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0026,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0026,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0026,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0026,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0029,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0029,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0029,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0029,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0029,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0053,С.-Петербург и Ленинградская область,GSM-900,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0053,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0053,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0053,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0053,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0053,С.-Петербург и Ленинградская область,LTE-2600-TDD,БС,2021-05-21,2021,МР Северо-Запад
PL_78_0063,С.-Петербург и Ленинградская область,GSM-900,БС,2021-05-28,2021,МР Северо-Запад
PL_78_0063,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-05-28,2021,МР Северо-Запад
PL_78_0063,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-05-28,2021,МР Северо-Запад
PL_78_0063,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-05-28,2021,МР Северо-Запад
PL_78_0063,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-05-28,2021,МР Северо-Запад
PL_78_0072,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0072,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0072,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,LTE-800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0094,С.-Петербург и Ленинградская область,LTE-2600-TDD,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,GSM-900,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,LTE-800,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0101,С.-Петербург и Ленинградская область,LTE-2600-TDD,БС,2021-05-07,2021,МР Северо-Запад
PL_78_0103,С.-Петербург и Ленинградская область,GSM-900,БС,2021-06-18,2021,МР Северо-Запад
PL_78_0103,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-06-18,2021,МР Северо-Запад
PL_78_0103,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-06-18,2021,МР Северо-Запад
PL_78_0103,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-06-18,2021,МР Северо-Запад
PL_78_0103,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-06-18,2021,МР Северо-Запад
PL_78_0132,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0132,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0132,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0132,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0132,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0156,С.-Петербург и Ленинградская область,GSM-900,БС,2021-04-16,2021,МР Северо-Запад
PL_78_0156,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-04-16,2021,МР Северо-Запад
PL_78_0156,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-04-16,2021,МР Северо-Запад
PL_78_0156,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-04-16,2021,МР Северо-Запад
PL_78_0156,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-04-16,2021,МР Северо-Запад
PL_78_0160,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0160,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0160,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0160,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0160,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0195,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-12-31,2021,МР Северо-Запад
PL_78_0195,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-12-31,2021,МР Северо-Запад
PL_78_0195,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-12-31,2021,МР Северо-Запад
PL_78_0195,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-12-31,2021,МР Северо-Запад
PL_78_0214,С.-Петербург и Ленинградская область,GSM-900,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0214,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0214,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0214,С.-Петербург и Ленинградская область,LTE-800,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0214,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0214,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0219,С.-Петербург и Ленинградская область,GSM-900,БС,2021-04-02,2021,МР Северо-Запад
PL_78_0219,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_78_0219,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-04-02,2021,МР Северо-Запад
PL_78_0219,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-04-02,2021,МР Северо-Запад
PL_78_0219,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-04-02,2021,МР Северо-Запад
PL_78_0219,С.-Петербург и Ленинградская область,LTE-2600-TDD,БС,2021-04-02,2021,МР Северо-Запад
PL_78_0231,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0231,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0231,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0231,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0231,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0250,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0250,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0250,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0250,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0250,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0250,С.-Петербург и Ленинградская область,LTE-2600-TDD,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0295,С.-Петербург и Ленинградская область,GSM-900,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0295,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0295,С.-Петербург и Ленинградская область,LTE-1800,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0295,С.-Петербург и Ленинградская область,LTE-2600,БС,2021-03-30,2021,МР Северо-Запад
PL_78_0301,С.-Петербург и Ленинградская область,GSM-900,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0301,С.-Петербург и Ленинградская область,DCS-1800,БС,2021-04-09,2021,МР Северо-Запад
PL_78_0301,С.-Петербург и Ленинградская область,UMTS-2100,БС,2021-04-09,2021,МР Северо-Запад
