Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,6,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,6 неделя,,БС,107,28,22,92,64,18,7,62,400,,,,,,,,,,
,,,модули/блоки,42,32,43,207,168,57,89,90,728,,,,,,,,,,
,,,Общий итог,149,60,65,299,232,75,96,152,1128,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,7,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,7 неделя,,БС,25,44,89,95,54,40,11,77,435,,,,,,,,,,
,,,модули/блоки,8,78,94,80,59,83,265,65,732,,,,,,,,,,
,,,Общий итог,33,122,183,175,113,123,276,142,1167,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,8,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,8 неделя,,БС,42,37,22,37,45,32,9,81,305,,,,,,,,,,
,,,модули/блоки,13,43,33,48,39,64,47,72,359,,,,,,,,,,
,,,Общий итог,55,80,55,85,84,96,56,153,664,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,9,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,9 неделя,,БС,78,26,48,76,52,55,40,94,469,,,,,,,,,,
,,,модули/блоки,50,48,45,158,60,57,129,47,594,,,,,,,,,,
,,,Общий итог,128,74,93,234,112,112,169,141,1063,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,10,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,10 неделя,,БС,61,35,49,49,49,14,16,101,374,,,,,,,,,,
,,,модули/блоки,42,66,100,83,61,29,89,58,528,,,,,,,,,,
,,,Общий итог,103,101,149,132,110,43,105,159,902,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,11,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,11 неделя,,БС,71,51,75,72,80,40,33,109,531,,,,,,,,,,
,,,модули/блоки,48,62,102,131,127,72,103,172,817,,,,,,,,,,
,,,Общий итог,119,113,177,203,207,112,136,281,1348,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,12,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,12 неделя,,БС,62,38,58,74,59,24,42,107,464,,,,,,,,,,
,,,модули/блоки,17,65,93,224,120,57,197,322,1095,,,,,,,,,,
,,,Общий итог,79,103,151,298,179,81,239,429,1559,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,13,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,13 неделя,,БС,72,52,11,43,41,8,31,125,383,,,,,,,,,,
,,,модули/блоки,31,99,74,122,36,47,125,397,931,,,,,,,,,,
,,,Общий итог,103,151,85,165,77,55,156,522,1314,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,14,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,14 неделя,,БС,20,37,85,71,60,12,50,124,459,,,,,,,,,,
,,,модули/блоки,12,154,131,173,46,119,271,119,1025,,,,,,,,,,
,,,Общий итог,32,191,216,244,106,131,321,243,1484,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,15,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,15 неделя,,БС,61,42,102,63,77,32,83,148,608,,,,,,,,,,
,,,модули/блоки,26,211,182,85,21,181,444,206,1356,,,,,,,,,,
,,,Общий итог,87,253,284,148,98,213,527,354,1964,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,16,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,16 неделя,,БС,24,43,69,67,44,12,32,137,428,,,,,,,,,,
,,,модули/блоки,16,125,208,193,37,79,216,121,995,,,,,,,,,,
,,,Общий итог,40,168,277,260,81,91,248,258,1423,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,17,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,17 неделя,,БС,33,53,60,43,34,9,10,134,376,,,,,,,,,,
,,,модули/блоки,19,129,138,149,39,75,23,131,703,,,,,,,,,,
,,,Общий итог,52,182,198,192,73,84,33,265,1079,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,18,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,18 неделя,,БС,38,28,99,32,60,5,,91,353,,,,,,,,,,
,,,модули/блоки,42,6,139,161,67,35,26,120,596,,,,,,,,,,
,,,Общий итог,80,34,238,193,127,40,26,211,949,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,19,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,19 неделя,,БС,19,37,157,49,39,3,4,35,343,,,,,,,,,,
,,,модули/блоки,20,45,153,113,74,16,130,102,653,,,,,,,,,,
,,,Общий итог,39,82,310,162,113,19,134,137,996,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,20,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,20 неделя,,БС,34,27,50,52,66,20,3,59,311,,,,,,,,,,
,,,модули/блоки,27,65,177,71,82,86,13,39,560,,,,,,,,,,
,,,Общий итог,61,92,227,123,148,106,16,98,871,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,21,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,21 неделя,,БС,44,55,83,37,79,5,15,91,409,,,,,,,,,,
,,,модули/блоки,98,150,328,131,68,65,93,84,1017,,,,,,,,,,
,,,Общий итог,142,205,411,168,147,70,108,175,1426,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,22,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,22 неделя,,БС,63,41,24,44,146,16,9,63,406,,,,,,,,,,
,,,модули/блоки,161,99,111,133,100,60,142,213,1019,,,,,,,,,,
,,,Общий итог,224,140,135,177,246,76,151,276,1425,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,23,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,23 неделя,,БС,75,108,76,54,140,43,33,126,655,,,,,,,,,,
,,,модули/блоки,62,169,179,132,105,85,152,109,993,,,,,,,,,,
,,,Общий итог,137,277,255,186,245,128,185,235,1648,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,24,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,24 неделя,,БС,52,43,40,56,116,16,47,115,485,,,,,,,,,,
,,,модули/блоки,41,110,68,87,69,31,164,178,748,,,,,,,,,,
,,,Общий итог,93,153,108,143,185,47,211,293,1233,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,25,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,25 неделя,,БС,10,48,75,52,147,55,37,129,553,,,,,,,,,,
,,,модули/блоки,25,92,98,33,202,30,153,114,747,,,,,,,,,,
,,,Общий итог,35,140,173,85,349,85,190,243,1300,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,26,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,26 неделя,,БС,40,37,44,37,75,35,53,70,391,,,,,,,,,,
,,,модули/блоки,24,125,144,34,165,59,154,207,912,,,,,,,,,,
,,,Общий итог,64,162,188,71,240,94,207,277,1303,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,27,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,27 неделя,,БС,39,58,75,30,71,12,38,115,438,,,,,,,,,,
,,,модули/блоки,22,95,99,11,47,22,305,82,683,,,,,,,,,,
,,,Общий итог,61,153,174,41,118,34,343,197,1121,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,28,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,28 неделя,,БС,26,31,117,27,82,12,62,54,411,,,,,,,,,,
,,,модули/блоки,11,118,46,20,40,69,272,32,608,,,,,,,,,,
,,,Общий итог,37,149,163,47,122,81,334,86,1019,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,29,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,29 неделя,,БС,46,69,44,46,65,28,50,46,394,,,,,,,,,,
,,,модули/блоки,60,202,52,28,56,69,124,167,758,,,,,,,,,,
,,,Общий итог,106,271,96,74,121,97,174,213,1152,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,30,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,30 неделя,,БС,46,69,45,20,75,21,63,62,401,,,,,,,,,,
,,,модули/блоки,55,269,58,19,47,38,217,101,804,,,,,,,,,,
,,,Общий итог,101,338,103,39,122,59,280,163,1205,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,31,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,31 неделя,,БС,45,50,62,12,112,21,54,109,465,,,,,,,,,,
,,,модули/блоки,115,151,51,11,90,21,163,78,680,,,,,,,,,,
,,,Общий итог,160,201,113,23,202,42,217,187,1145,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,32,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,32 неделя,,БС,46,37,79,44,84,43,50,53,436,,,,,,,,,,
,,,модули/блоки,42,243,72,40,100,33,444,82,1056,,,,,,,,,,
,,,Общий итог,88,280,151,84,184,76,494,135,1492,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,33,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,33 неделя,,БС,36,51,163,54,89,25,55,103,576,,,,,,,,,,
,,,модули/блоки,58,276,147,38,60,25,131,123,858,,,,,,,,,,
,,,Общий итог,94,327,310,92,149,50,186,226,1434,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,34,,Расход,МРДальний восток,МРМосква,МРПоволжье,МРСеверозапад,МРСибирь,МРУрал,МРЦентр,МРЮГ,Общий итог,,,,,,,,,,
,34 неделя,,БС,20,46,48,23,115,28,77,102,459,,,,,,,,,,
,,,модули/блоки,21,190,62,29,70,56,146,99,673,,,,,,,,,,
,,,Общий итог,41,236,110,52,185,84,223,201,1132,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,СР.Сзнач БС,38,46.333333333333336,68.57142857142857,41.142857142857146,82.71428571428571,21.428571428571427,41.05,91.95238095238095,,,16.54285714285714,,,,,,,,
,,,СР.СзначМодули/блоки,44.61904761904762,141.85714285714286,118.57142857142857,75.14285714285714,71.95238095238095,58.95238095238095,173.95238095238096,114.52380952380952,,,14.390476190476189,,,,,,,,
