Дата создания заказа,Дата утверждения заказа,Номер контракта,Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора
2021-09-29,2021-10-18,D1003239_15(17),17,157.346.000121,Антенна РРЛ Huawei 18Ггц 0.6м для XMC-5D UHP Dual Polarization (A18D06MDD-3NX),штука,4,0,4,",79",",7",",35",",19355",",7742",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),18,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,600,0,600,",063",",062",",051",",000199174",",1195044",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),19,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,6,0,6,",07",",04",",02",",000056",",000336",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),20,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,12,0,12,",04",",14",",17",",000952",",011424",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),21,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,300,0,300,",0683",",0683",",0341",",000159072749",",0477218247",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),22,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,8,0,8,",38",",1",",23",",00874",",06992",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),23,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,6,0,6,",1",",34",",34",",01156",",06936",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),24,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2,0,2,",58",",38",",16",",035264",",070528",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),25,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4,0,4,",38",",23",",1",",00874",",03496",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),26,160.346.000038,Карта модемная Huawei CA- Versatile Dual IF Board (SL91ISM8),штука,2,0,2,",3",",3",",07",",0063",",0126",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),27,189.022.001665,"Модуль оптический SFP+, 1310нм, 9.8G, -8.2дБм, 0.5дБм, -10.3дБм, LC, SM, 1.4км Huawei OSX1D4N01",штука,4,0,4,",04",",14",",08",",000448",",001792",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),28,204.346.000115,Патч-корд LC/PC-LC/PC многомодовый 2мм 5м,штука,8,0,8,",15",",25",",25",",009375",",075",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),29,189.022.001652,"Модуль оптический SFP+, 1310нм, 10.3125Гбит/с, -8.2-0.5дБм, -14.4дБм, LC, SM, 10км Huawei OSX010N09",штука,2,0,2,",1",",1",",000448",",00000448",",00000896",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),30,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1,0,1,",38",",36",",16",",021888",",021888",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),31,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1,0,1,",38",",36",",16",",021888",",021888",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),32,157.346.000126,"Антенна РРЛ Huawei 13Ггц, 1.8м для XMC-5D UHP Dual Polarization (A13D18MDD-3NX)",штука,2,0,2,2,",45","2,2","1,98","3,96",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),33,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,300,0,300,",063",",062",",051",",000199174",",0597522",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),34,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80ГГц, 3Гбит/с, 750МГц, PoE and DC, Config.2, High",штука,4,0,4,",1",",38",",58",",02204",",08816",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),35,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,4,0,4,",1",",38",",58",",02204",",08816",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),36,157.346.000097,Антенна РРЛ Huawei 80ГГц 0.3м UHP Single (A80S03MAC-3NX),штука,8,0,8,",25",",46",",48",",0552",",4416",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),37,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,8,0,8,",07",",04",",02",",000056",",000448",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),38,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,16,0,16,",04",",14",",17",",000952",",015232",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),39,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,400,0,400,",0683",",0683",",0341",",000159072749",",0636290996",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),40,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,10,0,10,",38",",1",",23",",00874",",0874",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),41,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,8,0,8,",1",",34",",34",",01156",",09248",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),42,244.022.000030,"Сборка Huawei кабельная медная 75м, RJ-45-RJ-45, Outdoor",штука,8,0,8,",385",",355",",1",",0136675",",10934",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),43,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,2,0,2,",6",",4",",18",",0432",",0864",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),44,161.346.000126,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, High",штука,1,0,1,",37",",28",",12",",012432",",012432",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),45,161.346.000127,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, Low",штука,1,0,1,",37",",28",",12",",012432",",012432",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),46,157.346.000104,Антенна РРЛ Huawei 18Ггц 0.6м UHP Single (A18S06MAC-3NX),штука,2,0,2,",79",",7",",35",",19355",",3871",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),47,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,100,0,100,",063",",062",",051",",000199174",",0199174",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),48,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,2,0,2,",6",",4",",18",",0432",",0864",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),49,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,8,0,8,",58",",38",",16",",035264",",282112",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),50,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,16,0,16,",38",",23",",1",",00874",",13984",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),51,160.346.000038,Карта модемная Huawei CA- Versatile Dual IF Board (SL91ISM8),штука,4,0,4,",3",",3",",07",",0063",",0252",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),52,189.022.001665,"Модуль оптический SFP+, 1310нм, 9.8G, -8.2дБм, 0.5дБм, -10.3дБм, LC, SM, 1.4км Huawei OSX1D4N01",штука,4,0,4,",04",",14",",08",",000448",",001792",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),53,204.346.000115,Патч-корд LC/PC-LC/PC многомодовый 2мм 5м,штука,8,0,8,",15",",25",",25",",009375",",075",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),54,189.022.001652,"Модуль оптический SFP+, 1310нм, 10.3125Гбит/с, -8.2-0.5дБм, -14.4дБм, LC, SM, 10км Huawei OSX010N09",штука,2,0,2,",1",",1",",000448",",00000448",",00000896",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),55,161.346.000144,"Радиоблок внешний ODU Huawei RTN XMC-3W-13G 13ГГц, 266МГц, SB AA, Low",штука,1,0,1,",525",",425",",205",",045740625",",045740625",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),56,161.346.000145,"Радиоблок внешний ODU Huawei RTN XMC-3W-13G 13ГГц, 266МГц, SB AA, High",штука,1,0,1,",525",",425",",205",",045740625",",045740625",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),57,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,4,0,4,",38",",36",",16",",021888",",087552",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),58,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,4,0,4,",38",",36",",16",",021888",",087552",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),59,161.346.000126,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, High",штука,1,0,1,",37",",28",",12",",012432",",012432",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),60,161.346.000127,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, Low",штука,1,0,1,",37",",28",",12",",012432",",012432",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),61,157.346.000100,Антенна РРЛ Huawei 13Ггц 0.6м UHP Single (A13S06MAC-3NX),штука,2,0,2,",79",",695",",33",",1811865",",362373",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),62,157.346.000120,Антенна РРЛ Huawei 13Ггц 1.2м для XMC-5D UHP Dual Polarization (A13D12MDD-3NX),штука,8,0,8,"1,4",",38","1,6",",8512","6,8096",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),63,157.346.000104,Антенна РРЛ Huawei 18Ггц 0.6м UHP Single (A18S06MAC-3NX),штука,2,0,2,",79",",7",",35",",19355",",3871",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),64,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,1500,0,1500,",063",",062",",051",",000199174",",298761",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),65,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,2,0,2,",6",",4",",18",",0432",",0864",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),66,161.346.000119,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, Low",штука,1,0,1,",4",",35",",2",",028",",028",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),67,161.346.000120,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, High",штука,1,0,1,",4",",35",",2",",028",",028",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),68,157.346.000140,Антенна РРЛ Huawei 11ГГц 1.2м UHP Single (A10WS12MAC-3NX),штука,2,0,2,"1,55",",38","1,38",",81282","1,62564",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),69,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,100,0,100,",063",",062",",051",",000199174",",0199174",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),70,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80ГГц, 3Гбит/с, 750МГц, PoE and DC, Config.2, High",штука,7,0,7,",1",",38",",58",",02204",",15428",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),71,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,7,0,7,",1",",38",",58",",02204",",15428",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),72,157.346.000097,Антенна РРЛ Huawei 80ГГц 0.3м UHP Single (A80S03MAC-3NX),штука,10,0,10,",25",",46",",48",",0552",",552",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),73,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,4,0,4,",4",",7",",7",",196",",784",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),74,160.346.000040,"Блок внутренний IDU Huawei RTN 905 2E, 1+0, Конфигурации 2.1A (IP)",штука,1,0,1,",6",",4",",18",",0432",",0432",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),75,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,12,0,12,",58",",38",",16",",035264",",423168",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),76,160.346.000043,"Блок внутренний IDU Huawei RTN 950, 1x10GE, 5GE, 4х(1+0) XPIC, Конфигурации 5B (IP)",штука,5,0,5,",6",",4",",23",",0552",",276",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),77,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,32,0,32,",38",",23",",1",",00874",",27968",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),78,181.022.000007,"Комбайнер гибридный Huawei 11ГГц Microwave Accessory, Coupler, 10/11G, UBR100, 3дБ XMC (C11B03RRC)",штука,4,0,4,",42",",3",",18",",02268",",09072",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),79,181.022.000003,"Комбайнер гибридный Huawei 18ГГц Microwave Coupler, Dual Coupler, 18G, IEC153-R220, 3дБ, For XMC-5D",штука,2,0,2,",47",",34",",26",",041548",",083096",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),80,181.022.000010,"Крепление внешнего блока к трубостойке Microwave structural Accessory, ODU Separate Mounting Bracket with Pole Installation Kit, With English doc",штука,4,0,4,0,0,0,,,304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),81,181.022.000011,Держатель Huawei для волновода Twistflex Hanger 6G-13G,штука,4,0,4,0,0,0,,,304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),82,181.022.000009,"Гибкий волновод Huawei PBR100 10/11G, 0.9м, with English doc (AF0ECA00)",штука,4,0,4,",5",",5",",5",",125",",5",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),83,160.346.000038,Карта модемная Huawei CA- Versatile Dual IF Board (SL91ISM8),штука,4,0,4,",3",",3",",07",",0063",",0252",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),84,161.346.000119,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, Low",штука,2,0,2,",4",",35",",2",",028",",056",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),85,161.346.000120,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, High",штука,2,0,2,",4",",35",",2",",028",",056",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),86,161.346.000134,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB B, Low",штука,2,0,2,",4",",35",",2",",028",",056",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),87,161.346.000135,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB B, High",штука,2,0,2,",4",",35",",2",",028",",056",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),88,161.346.000107,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB A, High",штука,1,0,1,",37",",28",",115",",011914",",011914",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),89,161.346.000108,"Радиоблок внешний ODU Huawei RTN XMC-3 13ГГц, 266МГц, SB A, Low",штука,1,0,1,",37",",28",",115",",011914",",011914",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),90,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,3,0,3,",38",",36",",16",",021888",",065664",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),91,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,3,0,3,",38",",36",",16",",021888",",065664",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),92,161.346.000130,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB B, Low",штука,1,0,1,",38",",36",",16",",021888",",021888",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),93,161.346.000131,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB B, High",штука,1,0,1,",38",",36",",16",",021888",",021888",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),94,161.346.000136,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, Low",штука,2,0,2,",59",",39",",31",",071331",",142662",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),95,161.346.000137,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, High",штука,2,0,2,",59",",39",",31",",071331",",142662",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),96,161.346.000132,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB B, Low",штука,2,0,2,",59",",39",",31",",071331",",142662",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),97,161.346.000133,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB B, High",штука,2,0,2,",59",",39",",31",",071331",",142662",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),98,157.346.000114,"Антенна РРЛ Huawei 11ГГц, 1.8м UHP Dual Polarization (A10WD18MAC-3NX)",штука,2,0,2,2,",45","2,2","1,98","3,96",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),99,157.346.000101,Антенна РРЛ Huawei 13Ггц 1.2м UHP Single (A13S12MAC-3NX),штука,2,0,2,"1,38",",38","1,55",",81282","1,62564",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),100,157.346.000126,"Антенна РРЛ Huawei 13Ггц, 1.8м для XMC-5D UHP Dual Polarization (A13D18MDD-3NX)",штука,2,0,2,2,",45","2,2","1,98","3,96",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),101,157.346.000120,Антенна РРЛ Huawei 13Ггц 1.2м для XMC-5D UHP Dual Polarization (A13D12MDD-3NX),штука,6,0,6,"1,4",",38","1,6",",8512","5,1072",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),102,157.346.000122,Антенна РРЛ Huawei 18Ггц 1.2м для XMC-5D UHP Dual Polarization (A18D12MDD-3NX),штука,3,0,3,"1,38",",38","1,55",",81282","2,43846",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),103,157.346.000125,"Антенна РРЛ Huawei 18Ггц, 1.8м для XMC-5D UHP Dual Polarization (A18D18MDD-3NX)",штука,3,0,3,"1,99",",45","2,2","1,9701","5,9103",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),104,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,3000,0,3000,",063",",062",",051",",000199174",",597522",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),105,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,14,0,14,",04",",14",",17",",000952",",013328",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),106,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,700,0,700,",0683",",0683",",0341",",000159072749",",1113509243",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),107,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,18,0,18,",38",",1",",23",",00874",",15732",304,21.12.2021
2021-09-29,2021-10-18,D1003239_15(17),108,244.022.000028,"Сборка Huawei кабельная медная 30м, RJ-45-RJ-45, Outdoor",штука,7,0,7,",032",",022",",043",",00003027",",00021189",304,21.12.2021
