№ Площадки,Регион,Площадка,Тип БС,Диапазон,"Дата ТЭ 
(ЧЧ.ММ.ГГ)","Год 
плана",exМР
PL_83_0306,Архангельская область,CS,БС,NI-1800,2021-09-30,2021,МР Северо-Запад
PL_83_0306,Архангельская область,CS,БС,LTE-1800,2021-09-30,2021,МР Северо-Запад
PL_83_0406,Архангельская область,CS,БС,LTE-2600,2021-06-30,2021,МР Северо-Запад
PL_35_0003,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0006,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-17,2021,МР Северо-Запад
PL_35_00062,Вологодская область,CS,БС,LTE-2600-TDD,2021-03-27,2021,МР Северо-Запад
PL_35_00134,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_00138,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_00145,Вологодская область,CS,БС,NI-1800,2021-06-30,2021,МР Северо-Запад
PL_35_00145,Вологодская область,CS,БС,LTE-1800,2021-06-30,2021,МР Северо-Запад
PL_35_00153,Вологодская область,GF,БС,LTE-1800,2021-11-30,2021,МР Северо-Запад
PL_35_00153,Вологодская область,GF,БС,LTE-2600,2021-11-30,2021,МР Северо-Запад
PL_35_00153,Вологодская область,GF,БС,NI-1800,2021-11-30,2021,МР Северо-Запад
PL_35_00157,Вологодская область,GF,БС,NI-1800,2021-12-30,2021,МР Северо-Запад
PL_35_00157,Вологодская область,GF,БС,LTE-1800,2021-12-30,2021,МР Северо-Запад
PL_35_00157,Вологодская область,GF,БС,LTE-2600,2021-12-30,2021,МР Северо-Запад
PL_35_00158,Вологодская область,CS,БС,LTE-1800,2021-10-30,2021,МР Северо-Запад
PL_35_00164,Вологодская область,GF,БС,GSM-900,2021-10-16,2021,МР Северо-Запад
PL_35_00164,Вологодская область,GF,БС,LTE-1800,2021-10-16,2021,МР Северо-Запад
PL_35_00164,Вологодская область,GF,БС,NI-1800,2021-10-16,2021,МР Северо-Запад
PL_35_00167,Вологодская область,GF,БС,LTE-1800,2021-12-12,2021,МР Северо-Запад
PL_35_00167,Вологодская область,GF,БС,LTE-2600,2021-12-12,2021,МР Северо-Запад
PL_35_00167,Вологодская область,GF,БС,NI-1800,2021-12-12,2021,МР Северо-Запад
PL_35_00167,Вологодская область,GF,БС,GSM-900,2021-12-12,2021,МР Северо-Запад
PL_35_00227,Вологодская область,GF,БС,NI-1800,2021-03-17,2021,МР Северо-Запад
PL_35_00227,Вологодская область,GF,БС,GSM-900,2021-03-17,2021,МР Северо-Запад
PL_35_00227,Вологодская область,GF,БС,LTE-1800,2021-03-17,2021,МР Северо-Запад
PL_35_0034,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0053,Вологодская область,CS,БС,LTE-2600-TDD,2021-10-03,2021,МР Северо-Запад
PL_35_00584,Вологодская область,CS,БС,NI-1800,2021-09-30,2021,МР Северо-Запад
PL_35_00584,Вологодская область,CS,БС,LTE-1800,2021-09-30,2021,МР Северо-Запад
PL_35_00585,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_00589,Вологодская область,CS,БС,NI-1800,2021-03-30,2021,МР Северо-Запад
PL_35_00589,Вологодская область,CS,БС,LTE-1800,2021-03-30,2021,МР Северо-Запад
PL_35_00598,Вологодская область,CS,БС,LTE-2600,2021-06-27,2021,МР Северо-Запад
PL_35_00598,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_35_0068,Вологодская область,CS,БС,LTE-2600-TDD,2021-12-22,2021,МР Северо-Запад
PL_35_01026,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_35_01030,Вологодская область,CS ID,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0105,Вологодская область,CS,БС,NI-1800,2021-03-30,2021,МР Северо-Запад
PL_35_0105,Вологодская область,CS,БС,LTE-1800,2021-03-30,2021,МР Северо-Запад
PL_35_0108,Вологодская область,CS,БС,LTE-2600-TDD,2021-08-31,2021,МР Северо-Запад
PL_35_0110,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-30,2021,МР Северо-Запад
PL_35_0111,Вологодская область,CS,БС,NI-1800,2021-02-25,2021,МР Северо-Запад
PL_35_0111,Вологодская область,CS,БС,LTE-1800,2021-02-25,2021,МР Северо-Запад
PL_35_0116,Вологодская область,CS,БС,LTE-2600-TDD,2021-03-30,2021,МР Северо-Запад
PL_35_0302,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0308,Вологодская область,CS,БС,NI-1800,2021-05-30,2021,МР Северо-Запад
PL_35_0308,Вологодская область,CS,БС,LTE-1800,2021-05-30,2021,МР Северо-Запад
PL_35_0341,Вологодская область,CS,БС,NI-1800,2021-05-30,2021,МР Северо-Запад
PL_35_0341,Вологодская область,CS,БС,LTE-1800,2021-05-30,2021,МР Северо-Запад
PL_35_0391,Вологодская область,CS,БС,NI-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0391,Вологодская область,CS,БС,LTE-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0430,Вологодская область,CS,БС,NI-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0430,Вологодская область,CS,БС,LTE-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0432,Вологодская область,CS,БС,NI-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0432,Вологодская область,CS,БС,LTE-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0449,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0454,Вологодская область,CS,БС,NI-1800,2021-09-30,2021,МР Северо-Запад
PL_35_0454,Вологодская область,CS,БС,LTE-1800,2021-09-30,2021,МР Северо-Запад
PL_35_0456,Вологодская область,CS,БС,NI-1800,2021-09-30,2021,МР Северо-Запад
PL_35_0456,Вологодская область,CS,БС,LTE-1800,2021-09-30,2021,МР Северо-Запад
PL_35_0500,Вологодская область,CS,БС,NI-1800,2021-04-18,2021,МР Северо-Запад
PL_35_0503,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0507,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0517,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0517,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-30,2021,МР Северо-Запад
PL_35_0518,Вологодская область,CS,БС,NI-1800,2021-09-30,2021,МР Северо-Запад
PL_35_0518,Вологодская область,CS,БС,LTE-1800,2021-09-30,2021,МР Северо-Запад
PL_35_0520,Вологодская область,CS,БС,NI-1800,2021-04-18,2021,МР Северо-Запад
PL_35_0523,Вологодская область,CS,БС,NI-1800,2021-02-25,2021,МР Северо-Запад
PL_35_0523,Вологодская область,CS,БС,LTE-1800,2021-02-25,2021,МР Северо-Запад
PL_35_0524,Вологодская область,CS,БС,NI-1800,2021-04-03,2021,МР Северо-Запад
PL_35_0524,Вологодская область,CS,БС,LTE-2600-TDD,2021-03-30,2021,МР Северо-Запад
PL_35_0528,Вологодская область,CS,БС,NI-1800,2021-03-30,2021,МР Северо-Запад
PL_35_0528,Вологодская область,CS,БС,LTE-1800,2021-03-30,2021,МР Северо-Запад
PL_35_0530,Вологодская область,CS,БС,NI-1800,2021-03-20,2021,МР Северо-Запад
PL_35_0534,Вологодская область,CS,БС,NI-1800,2021-02-25,2021,МР Северо-Запад
PL_35_0534,Вологодская область,CS,БС,LTE-1800,2021-02-25,2021,МР Северо-Запад
PL_35_0540,Вологодская область,CS,БС,NI-1800,2021-04-03,2021,МР Северо-Запад
PL_35_0542,Вологодская область,CS,БС,NI-1800,2021-04-03,2021,МР Северо-Запад
PL_35_0546,Вологодская область,CS,БС,NI-1800,2021-03-20,2021,МР Северо-Запад
PL_35_0555,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0557,Вологодская область,CS,БС,NI-1800,2021-04-03,2021,МР Северо-Запад
PL_35_0560,Вологодская область,CS,БС,NI-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0560,Вологодская область,CS,БС,LTE-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0569,Вологодская область,CS,БС,LTE-1800,2021-06-27,2021,МР Северо-Запад
PL_35_0569,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_35_0574,Вологодская область,CS,БС,LTE-2600,2021-06-30,2021,МР Северо-Запад
PL_35_0575,Вологодская область,CS,БС,NI-1800,2021-06-30,2021,МР Северо-Запад
PL_35_0575,Вологодская область,CS,БС,LTE-1800,2021-06-30,2021,МР Северо-Запад
PL_35_0578,Вологодская область,CS,БС,NI-1800,2021-06-30,2021,МР Северо-Запад
PL_35_0578,Вологодская область,CS,БС,LTE-1800,2021-06-30,2021,МР Северо-Запад
PL_35_0582,Вологодская область,CS,БС,NI-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0582,Вологодская область,CS,БС,LTE-1800,2021-05-15,2021,МР Северо-Запад
PL_35_0628,Вологодская область,CS,БС,NI-1800,2021-03-30,2021,МР Северо-Запад
PL_35_0628,Вологодская область,CS,БС,LTE-1800,2021-03-30,2021,МР Северо-Запад
PL_35_0700,Вологодская область,CS,БС,NI-1800,2021-03-27,2021,МР Северо-Запад
PL_35_0711,Вологодская область,CS,БС,NI-1800,2021-04-10,2021,МР Северо-Запад
PL_35_0711,Вологодская область,CS,БС,LTE-2600-TDD,2021-06-30,2021,МР Северо-Запад
PL_35_0812,Вологодская область,CS,БС,NI-1800,2021-06-30,2021,МР Северо-Запад
PL_35_0812,Вологодская область,CS,БС,LTE-1800,2021-06-30,2021,МР Северо-Запад
PL_35_0885,Вологодская область,CS,БС,NI-1800,2021-05-30,2021,МР Северо-Запад
PL_35_0885,Вологодская область,CS,БС,LTE-1800,2021-05-30,2021,МР Северо-Запад
PL_35_0903,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0904,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0907,Вологодская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_35_0916,Вологодская область,CS,БС,LTE-2600-TDD,2021-11-18,2021,МР Северо-Запад
PL_45_00350,Курганская область,GF,БС,LTE-1800,2021-07-30,2021,МР Урал
PL_45_00350,Курганская область,GF,БС,NI-1800,2021-07-30,2021,МР Урал
PL_45_00372,Курганская область,GF,БС,LTE-1800,2021-09-30,2021,МР Урал
PL_45_00372,Курганская область,GF,БС,LTE-2600,2021-09-30,2021,МР Урал
PL_45_00372,Курганская область,GF,БС,NI-1800,2021-09-30,2021,МР Урал
PL_45_00380,Курганская область,GF,БС,LTE-1800,2021-08-30,2021,МР Урал
PL_45_00380,Курганская область,GF,БС,LTE-2600,2021-08-30,2021,МР Урал
PL_45_00380,Курганская область,GF,БС,NI-1800,2021-08-30,2021,МР Урал
PL_45_00390,Курганская область,GF,БС,LTE-1800,2021-08-08,2021,МР Урал
PL_45_00390,Курганская область,GF,БС,NI-1800,2021-08-08,2021,МР Урал
PL_45_00392,Курганская область,GF,БС,LTE-1800,2021-04-02,2021,МР Урал
PL_45_00392,Курганская область,GF,БС,LTE-2600,2021-04-02,2021,МР Урал
PL_45_00392,Курганская область,GF,БС,LTE-2600-TDD,2021-04-02,2021,МР Урал
PL_45_00392,Курганская область,GF,БС,NI-1800,2021-04-02,2021,МР Урал
PL_45_00393,Курганская область,GF,БС,LTE-1800,2021-09-03,2021,МР Урал
PL_45_00393,Курганская область,GF,БС,NI-1800,2021-09-03,2021,МР Урал
PL_45_00394,Курганская область,GF,БС,LTE-1800,2021-06-27,2021,МР Урал
PL_45_00394,Курганская область,GF,БС,NI-1800,2021-06-27,2021,МР Урал
PL_45_00412,Курганская область,GF,БС,DCS-1800,2021-06-25,2021,МР Урал
PL_45_00412,Курганская область,GF,БС,LTE-1800,2021-06-25,2021,МР Урал
PL_45_00412,Курганская область,GF,БС,NI-1800,2021-06-25,2021,МР Урал
PL_45_035,Курганская область,CS,БС,LTE-2600,2021-06-15,2021,МР Урал
PL_45_118,Курганская область,CS,БС,LTE-2600-TDD,2021-09-30,2021,МР Урал
PL_45_146,Курганская область,CS,БС,LTE-2600-TDD,2021-09-20,2021,МР Урал
PL_45_193,Курганская область,CS,БС,NI-1800,2021-07-01,2021,МР Урал
PL_45_193,Курганская область,CS,БС,LTE-1800,2021-07-01,2021,МР Урал
PL_45_193,Курганская область,CS,БС,LTE-2600,2021-07-01,2021,МР Урал
PL_45_273,Курганская область,CS,БС,LTE-2600,2021-05-13,2021,МР Урал
PL_51_00060,Мурманская область,CS ID,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_51_00081,Мурманская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_51_00084,Мурманская область,GF,БС,LTE-1800,2021-11-30,2021,МР Северо-Запад
PL_51_00084,Мурманская область,GF,БС,NI-1800,2021-11-30,2021,МР Северо-Запад
PL_51_00084,Мурманская область,GF,БС,UMTS-2100,2021-11-30,2021,МР Северо-Запад
PL_51_00137,Мурманская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_51_00165,Мурманская область,CS,БС,NI-1800,2021-06-09,2021,МР Северо-Запад
PL_51_00170,Мурманская область,GF,БС,LTE-1800,2021-03-09,2021,МР Северо-Запад
PL_51_00170,Мурманская область,GF,БС,LTE-2600,2021-06-09,2021,МР Северо-Запад
PL_51_00170,Мурманская область,GF,БС,NI-1800,2021-03-09,2021,МР Северо-Запад
PL_51_0023,Мурманская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_51_00235,Мурманская область,GF,БС,GSM-900,2021-10-30,2021,МР Северо-Запад
PL_51_00235,Мурманская область,GF,БС,UMTS-2100,2021-10-30,2021,МР Северо-Запад
PL_51_00242,Мурманская область,CS,БС,LTE-2600,2021-01-31,2021,МР Северо-Запад
PL_51_00248,Мурманская область,CS,БС,NI-1800,2021-07-08,2021,МР Северо-Запад
PL_51_00253,Мурманская область,GF,БС,GSM-900,2021-05-10,2021,МР Северо-Запад
PL_51_00254,Мурманская область,GF,БС,LTE-1800,2021-06-10,2021,МР Северо-Запад
PL_51_00254,Мурманская область,GF,БС,LTE-2600,2021-06-10,2021,МР Северо-Запад
PL_51_00444,Мурманская область,CS,БС,LTE-2600,2021-04-20,2021,МР Северо-Запад
PL_51_00618,Мурманская область,GF,БС,UMTS-2100,2021-11-30,2021,МР Северо-Запад
PL_51_0101,Мурманская область,CS,БС,LTE-2600-TDD,2021-07-25,2021,МР Северо-Запад
PL_51_0106,Мурманская область,CS,БС,NI-1800,2021-03-20,2021,МР Северо-Запад
PL_51_0112,Мурманская область,CS,БС,LTE-2600-TDD,2021-06-20,2021,МР Северо-Запад
PL_51_0125,Мурманская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_51_0201,Мурманская область,CS,БС,LTE-2600-TDD,2021-02-25,2021,МР Северо-Запад
PL_51_0223,Мурманская область,CS,БС,LTE-2600,2021-10-26,2021,МР Северо-Запад
PL_51_0314,Мурманская область,CS,БС,LTE-2600,2021-04-28,2021,МР Северо-Запад
PL_51_0320,Мурманская область,CS,БС,NI-1800,2021-11-27,2021,МР Северо-Запад
PL_51_0419,Мурманская область,CS,БС,LTE-2600-TDD,2021-04-25,2021,МР Северо-Запад
PL_51_0506,Мурманская область,CS,БС,NI-1800,2021-09-25,2021,МР Северо-Запад
PL_51_0512,Мурманская область,CS,БС,NI-1800,2021-06-30,2021,МР Северо-Запад
PL_51_0512,Мурманская область,CS,БС,LTE-2600,2021-06-30,2021,МР Северо-Запад
PL_51_0816,Мурманская область,CS,БС,LTE-2600,2021-04-25,2021,МР Северо-Запад
PL_51_0818,Мурманская область,CS,БС,LTE-2600,2021-04-20,2021,МР Северо-Запад
PL_59_00423,Пермский край,CS,БС,LTE-2600-TDD,2021-09-30,2021,МР Урал
PL_59_005,Пермский край,CS,БС,LTE-2600-TDD,2021-04-30,2021,МР Урал
PL_59_01009,Пермский край,GF,БС,LTE-1800,2021-01-15,2021,МР Урал
PL_59_01012,Пермский край,CS,БС,NI-1800,2021-03-01,2021,МР Урал
PL_59_01030,Пермский край,GF,БС,DCS-1800,2021-08-30,2021,МР Урал
PL_59_01030,Пермский край,GF,БС,UMTS-2100,2021-08-30,2021,МР Урал
PL_59_01030,Пермский край,GF,БС,LTE-1800,2021-08-30,2021,МР Урал
PL_59_01030,Пермский край,GF,БС,LTE-2600,2021-08-30,2021,МР Урал
PL_59_01030,Пермский край,GF,БС,NI-1800,2021-08-30,2021,МР Урал
PL_59_01043,Пермский край,GF,БС,GSM-900,2021-03-30,2021,МР Урал
PL_59_01043,Пермский край,GF,БС,UMTS-2100,2021-03-30,2021,МР Урал
PL_59_01045,Пермский край,GF,БС,LTE-1800,2021-08-15,2021,МР Урал
PL_59_01045,Пермский край,GF,БС,NI-1800,2021-08-15,2021,МР Урал
PL_59_01047,Пермский край,CS,БС,DCS-1800,2021-09-01,2021,МР Урал
PL_59_01047,Пермский край,CS,БС,NI-1800,2021-09-01,2021,МР Урал
PL_59_01050,Пермский край,GF,БС,DCS-1800,2021-03-30,2021,МР Урал
PL_59_01050,Пермский край,GF,БС,UMTS-2100,2021-03-30,2021,МР Урал
PL_59_01050,Пермский край,GF,БС,LTE-1800,2021-03-30,2021,МР Урал
PL_59_01050,Пермский край,GF,БС,LTE-2600,2021-03-30,2021,МР Урал
PL_59_01050,Пермский край,GF,БС,NI-1800,2021-03-30,2021,МР Урал
PL_59_01100,Пермский край,CS,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_01115,Пермский край,GF,БС,GSM-900,2021-05-02,2021,МР Урал
PL_59_01115,Пермский край,GF,БС,LTE-1800,2021-05-02,2021,МР Урал
PL_59_01115,Пермский край,GF,БС,NI-1800,2021-05-02,2021,МР Урал
PL_59_01119,Пермский край,CS,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_01128,Пермский край,CS,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_01139,Пермский край,GF,БС,GSM-900,2021-09-13,2021,МР Урал
PL_59_01139,Пермский край,GF,БС,LTE-1800,2021-09-13,2021,МР Урал
PL_59_01139,Пермский край,GF,БС,NI-1800,2021-09-13,2021,МР Урал
PL_59_01147,Пермский край,GF,БС,LTE-1800,2021-08-21,2021,МР Урал
PL_59_01147,Пермский край,GF,БС,NI-1800,2021-08-21,2021,МР Урал
PL_59_01150,Пермский край,GF,БС,NI-1800,2021-07-30,2021,МР Урал
PL_59_01150,Пермский край,GF,БС,LTE-1800,2021-07-30,2021,МР Урал
PL_59_012,Пермский край,CS,БС,LTE-2600-TDD,2021-06-20,2021,МР Урал
PL_59_01211,Пермский край,CS,БС,LTE-2600-TDD,2021-05-30,2021,МР Урал
PL_59_01230,Пермский край,GF,БС,LTE-1800,2021-12-31,2021,МР Урал
PL_59_01230,Пермский край,GF,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_01230,Пермский край,GF,БС,UMTS-2100,2021-12-31,2021,МР Урал
PL_59_01259,Пермский край,CS,БС,NI-1800,2021-04-09,2021,МР Урал
PL_59_01296,Пермский край,CS,БС,LTE-2600-TDD,2021-04-26,2021,МР Урал
PL_59_01500,Пермский край,CS,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_01706,Пермский край,GF,БС,LTE-1800,2021-05-10,2021,МР Урал
PL_59_01706,Пермский край,GF,БС,LTE-2600,2021-05-10,2021,МР Урал
PL_59_01706,Пермский край,GF,БС,NI-1800,2021-05-10,2021,МР Урал
PL_59_01711,Пермский край,GF,БС,LTE-1800,2021-08-20,2021,МР Урал
PL_59_01711,Пермский край,GF,БС,LTE-2600,2021-08-20,2021,МР Урал
PL_59_01711,Пермский край,GF,БС,NI-1800,2021-08-20,2021,МР Урал
PL_59_01719,Пермский край,GF,БС,LTE-2600-TDD,2021-10-30,2021,МР Урал
PL_59_01721,Пермский край,CS,БС,LTE-2600-TDD,2021-08-01,2021,МР Урал
PL_59_01732,Пермский край,GF,БС,LTE-1800,2021-11-26,2021,МР Урал
PL_59_01732,Пермский край,GF,БС,LTE-2600,2021-11-26,2021,МР Урал
PL_59_01732,Пермский край,GF,БС,NI-1800,2021-11-26,2021,МР Урал
PL_59_01739,Пермский край,GF,БС,LTE-1800,2021-10-01,2021,МР Урал
PL_59_01739,Пермский край,GF,БС,LTE-2600,2021-10-01,2021,МР Урал
PL_59_01739,Пермский край,GF,БС,NI-1800,2021-10-01,2021,МР Урал
PL_59_01742,Пермский край,GF,БС,LTE-1800,2021-05-30,2021,МР Урал
PL_59_01742,Пермский край,GF,БС,LTE-2600,2021-05-30,2021,МР Урал
PL_59_01742,Пермский край,GF,БС,NI-1800,2021-05-30,2021,МР Урал
PL_59_01743,Пермский край,GF,БС,LTE-1800,2021-05-30,2021,МР Урал
PL_59_01743,Пермский край,GF,БС,LTE-2600,2021-05-30,2021,МР Урал
PL_59_01743,Пермский край,GF,БС,NI-1800,2021-05-30,2021,МР Урал
PL_59_01744,Пермский край,GF,БС,LTE-1800,2021-07-01,2021,МР Урал
PL_59_01744,Пермский край,GF,БС,LTE-2600,2021-07-01,2021,МР Урал
PL_59_01744,Пермский край,GF,БС,NI-1800,2021-07-01,2021,МР Урал
PL_59_01747,Пермский край,CS,БС,LTE-2600-TDD,2021-10-20,2021,МР Урал
PL_59_01751,Пермский край,GF,БС,LTE-1800,2021-07-01,2021,МР Урал
PL_59_01751,Пермский край,GF,БС,LTE-2600,2021-07-01,2021,МР Урал
PL_59_01751,Пермский край,GF,БС,NI-1800,2021-07-01,2021,МР Урал
PL_59_01757,Пермский край,GF,БС,LTE-1800,2021-06-10,2021,МР Урал
PL_59_01757,Пермский край,GF,БС,LTE-2600,2021-06-10,2021,МР Урал
PL_59_01757,Пермский край,GF,БС,NI-1800,2021-06-10,2021,МР Урал
PL_59_01758,Пермский край,GF,БС,LTE-2600-TDD,2021-09-30,2021,МР Урал
PL_59_01758,Пермский край,GF,БС,LTE-1800,2021-06-10,2021,МР Урал
PL_59_01758,Пермский край,GF,БС,LTE-2600,2021-06-10,2021,МР Урал
PL_59_01758,Пермский край,GF,БС,NI-1800,2021-06-10,2021,МР Урал
PL_59_01759,Пермский край,GF,БС,LTE-1800,2021-07-05,2021,МР Урал
PL_59_01759,Пермский край,GF,БС,LTE-2600,2021-07-05,2021,МР Урал
PL_59_01759,Пермский край,GF,БС,NI-1800,2021-07-05,2021,МР Урал
PL_59_01761,Пермский край,GF,БС,LTE-1800,2021-06-15,2021,МР Урал
PL_59_01761,Пермский край,GF,БС,LTE-2600,2021-06-15,2021,МР Урал
PL_59_01761,Пермский край,GF,БС,NI-1800,2021-06-15,2021,МР Урал
PL_59_01768,Пермский край,CS,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_01774,Пермский край,GF,БС,LTE-1800,2021-07-10,2021,МР Урал
PL_59_01774,Пермский край,GF,БС,LTE-2600,2021-07-10,2021,МР Урал
PL_59_01774,Пермский край,GF,БС,NI-1800,2021-07-10,2021,МР Урал
PL_59_01781,Пермский край,GF,БС,LTE-1800,2021-07-10,2021,МР Урал
PL_59_01781,Пермский край,GF,БС,LTE-2600,2021-07-10,2021,МР Урал
PL_59_01781,Пермский край,GF,БС,NI-1800,2021-07-10,2021,МР Урал
PL_59_044,Пермский край,CS,БС,LTE-2600-TDD,2021-11-21,2021,МР Урал
PL_59_044,Пермский край,CS,БС,NI-1800,2021-12-31,2021,МР Урал
PL_59_053,Пермский край,CS,БС,LTE-2600-TDD,2021-06-20,2021,МР Урал
PL_59_104,Пермский край,CS,БС,LTE-2600-TDD,2021-06-10,2021,МР Урал
PL_59_172,Пермский край,CS,БС,LTE-2600-TDD,2021-06-15,2021,МР Урал
PL_59_194,Пермский край,CS,БС,LTE-2600-TDD,2021-10-24,2021,МР Урал
PL_59_211,Пермский край,CS,БС,LTE-2600-TDD,2021-10-10,2021,МР Урал
PL_59_235,Пермский край,CS,БС,LTE-2600-TDD,2021-09-10,2021,МР Урал
PL_59_242,Пермский край,CS,БС,LTE-2600,2021-02-20,2021,МР Урал
PL_59_242,Пермский край,CS,БС,LTE-2600-TDD,2021-02-20,2021,МР Урал
PL_59_259,Пермский край,CS,БС,LTE-2600-TDD,2021-06-12,2021,МР Урал
PL_59_266,Пермский край,CS,БС,LTE-2600-TDD,2021-04-20,2021,МР Урал
PL_59_299,Пермский край,CS,БС,LTE-2600-TDD,2021-11-08,2021,МР Урал
PL_59_01050,Пермский край,GF,БС,LTE-2600-TDD,2021-07-04,2021,МР Урал
