Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора,Группа,Наименовнание группы,БС,Месяц,Год
49.0,157.346.000097,Антенна РРЛ Huawei 80Ггц 0.3м UHP Single (A80S03MAC-3NX),штука,2.0,0.0,2.0,",25",",46",",48",",0552",0.1104,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
50.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,2.0,0.0,2.0,",4",",7",",7",",196",0.392,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
51.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,8.0,0.0,8.0,",04",",14",",17",",000952",0.007616,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
52.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,200.0,0.0,200.0,",000212",1,1,",000212",0.0424,304,01.04.2021,239.0,Кабель для БС,0,4.0,2021.0
53.0,244.022.000029,"Сборка Huawei кабельная медная 50м, RJ-45-RJ-45, Outdoor",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
54.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,4.0,0.0,4.0,",1",",34",",34",",01156",0.04624,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
55.0,160.346.000042,"Блок внутренний IDU Huawei RTN 950, 6xGigE, 4х(1+0) XPIC, Конфигурации 4B (IP)",штука,2.0,0.0,2.0,",5",",6",",3",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
56.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,5.0,0.0,5.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
57.0,161.346.000119,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, Low",штука,2.0,0.0,2.0,",4",",35",",2",",028",0.056,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
58.0,161.346.000120,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, High",штука,2.0,0.0,2.0,",4",",35",",2",",028",0.056,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
59.0,161.346.000134,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB B, Low",штука,6.0,0.0,6.0,",4",",35",",2",",028",0.168,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
60.0,161.346.000135,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB B, High",штука,6.0,0.0,6.0,",4",",35",",2",",028",0.168,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
61.0,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
62.0,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
63.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
64.0,181.022.000007,"Комбайнер гибридный Huawei 11ГГц Microwave Accessory, Coupler, 10/11G, UBR100, 3дБ XMC (C11B03RRC)",штука,4.0,0.0,4.0,",2",",3",",2",",012",0.048,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
65.0,160.346.000038,Карта модемная Huawei CA- Versatile Dual IF Board (SL91ISM8),штука,1.0,0.0,1.0,",3",",3",",07",",0063",0.0063,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
66.0,157.346.000114,"Антенна РРЛ Huawei 11ГГц, 1.8м UHP Dual Polarization (A10WD18MAC-3NX)",штука,6.0,0.0,6.0,2,",45","2,2","1,98",11.88,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
67.0,157.346.000126,"Антенна РРЛ Huawei 13Ггц, 1.8м для XMC-5D UHP Dual Polarization (A13D18MDD-3NX)",штука,2.0,0.0,2.0,2,",45","2,2","1,98",3.96,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
68.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,16.0,0.0,16.0,1,1,",000448",",000448",0.007168,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
69.0,181.022.000006,Разъем РРЛ Huawei N-type male для кабеля RG-8U (C0NMCON01),штука,10.0,0.0,10.0,",1",",05",",05",",00025",0.0025,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
70.0,181.022.000005,"Кабель RF РРЛ Huawei 2м, TNC50AM-III, RG223/U, N50SF-V P 1.0 (CRF0RG223)",штука,10.0,0.0,10.0,1,",05",",05",,,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
71.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,2000.0,0.0,2000.0,",063",",062",",051",",000199174",0.398348,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
72.0,161.346.000102,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 10Гбит/с, 750Мгц, PoE and DC, Config.3, High",штука,6.0,0.0,6.0,",6",",4",",35",",084",0.504,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
73.0,161.346.000101,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 10Гбит/с, 750Мгц, PoE and DC, Config.3, Low",штука,6.0,0.0,6.0,",6",",4",",35",",084",0.504,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
74.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,12.0,0.0,12.0,",38",",1",",23",",00874",0.10488,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
75.0,157.346.000097,Антенна РРЛ Huawei 80Ггц 0.3м UHP Single (A80S03MAC-3NX),штука,4.0,0.0,4.0,",25",",46",",48",",0552",0.2208,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
76.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,8.0,0.0,8.0,",4",",7",",7",",196",1.568,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
77.0,181.346.000358,"Модуль оптический Huawei eSFP kit for 10GE or 10G CPRI, 1.4км, SM",штука,24.0,0.0,24.0,",1",",05",",05",",00025",0.006,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
78.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,600.0,0.0,600.0,",000212",1,1,",000212",0.1272,304,01.04.2021,239.0,Кабель для БС,0,4.0,2021.0
79.0,244.022.000030,"Сборка Huawei кабельная медная 75м, RJ-45-RJ-45, Outdoor",штука,8.0,0.0,8.0,",385",",355",",1",",0136675",0.10934,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
80.0,244.022.000031,"Сборка Huawei кабельная медная 100м, RJ-45-RJ-45, Outdoor",штука,4.0,0.0,4.0,",08",",32",",32",",008192",0.032768,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
81.0,244.022.000034,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 70м, Outdoor (FDLCUPC07)",штука,16.0,0.0,16.0,",375",",375",",35",",04921875",0.7875,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
82.0,244.022.000035,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 100м, Outdoor (FDLCUPC10)",штука,8.0,0.0,8.0,",23",",38",",38",",033212",0.265696,304,01.04.2021,244.0,АФУ,0,4.0,2021.0
83.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,32.0,0.0,32.0,",4",",6",",2",,,304,01.04.2021,160.0,РРЛ,0,4.0,2021.0
84.0,161.346.000115,"Радиоблок внешний ODU Huawei RTN XMC-3 38ГГц, 1260МГц, SB A, High",штука,16.0,0.0,16.0,",38",",28",",1",",01064",0.17024,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
85.0,161.346.000116,"Радиоблок внешний ODU Huawei RTN XMC-3 38ГГц, 1260МГц, SB A, Low",штука,16.0,0.0,16.0,",38",",28",",1",",01064",0.17024,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
86.0,161.346.000136,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, Low",штука,5.0,0.0,5.0,",37",",37",",17",",023273",0.116365,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
87.0,161.346.000137,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, High",штука,5.0,0.0,5.0,",37",",37",",17",",023273",0.116365,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
88.0,161.346.000132,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB B, Low",штука,3.0,0.0,3.0,",38",",36",",16",",021888",0.065664,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
89.0,161.346.000133,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB B, High",штука,3.0,0.0,3.0,",38",",36",",16",",021888",0.065664,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
90.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,32.0,0.0,32.0,",38",",23",",1",",00874",0.27968,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
91.0,157.346.000131,Антенна РРЛ Huawei 38ГГц 0.3м UHP Dual Polarization (A38D03MAC-3NX),штука,16.0,0.0,16.0,",2",",3",",3",,,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
92.0,157.346.000121,Антенна РРЛ Huawei 18Ггц 0.6м для XMC-5D UHP Dual Polarization (A18D06MDD-3NX),штука,10.0,0.0,10.0,",7",",79",",35",",19355",1.9355,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
93.0,157.346.000122,Антенна РРЛ Huawei 18Ггц 1.2м для XMC-5D UHP Dual Polarization (A18D12MDD-3NX),штука,6.0,0.0,6.0,"1,37",",38","1,54",",801724",4.810344,304,01.04.2021,157.0,РРЛ,0,4.0,2021.0
94.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,64.0,0.0,64.0,1,1,",000448",",000448",0.028672,304,01.04.2021,249.0,Мультиплексоры,0,4.0,2021.0
95.0,181.022.000006,Разъем РРЛ Huawei N-type male для кабеля RG-8U (C0NMCON01),штука,20.0,0.0,20.0,",1",",05",",05",",00025",0.005,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
96.0,181.022.000005,"Кабель RF РРЛ Huawei 2м, TNC50AM-III, RG223/U, N50SF-V P 1.0 (CRF0RG223)",штука,20.0,0.0,20.0,1,",05",",05",,,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
97.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,3000.0,0.0,3000.0,",063",",062",",051",",000199174",0.597522,304,01.04.2021,238.0,АФУ,0,4.0,2021.0
98.0,161.346.000100,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, High",штука,2.0,0.0,2.0,",1",",38",",58",",02204",0.04408,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
99.0,161.346.000099,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 3Гбит/с, 750Мгц, PoE and DC, Config.2, Low",штука,2.0,0.0,2.0,",1",",38",",58",",02204",0.04408,304,01.04.2021,161.0,РРЛ,0,4.0,2021.0
100.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,4.0,0.0,4.0,",38",",1",",23",",00874",0.03496,304,01.04.2021,181.0,РРЛ,0,4.0,2021.0
